x,y,georef_paulr,processing.project
366,260,80.23317491859126,510.43893168180205
330,262,89.7787276671616,106.57142434155827
349,197,30.852755591039646,438.83726724528805
356,183,135.85299648462367,583.5905943339395
341,104,123.53151058265898,555.8212009723467
337,150,127.8057608664528,477.2960540522775
340,51,112.84868049698541,517.730586280339
330,12,141.02981725993996,553.9441883684846
334,311,126.25416308657253,358.27205238646735
333,345,139.81274682085913,519.4042173808184
343,384,129.43157660438828,516.061884972099
362,412,10.79998320651776,411.64829549474894
374,440,128.2124864873794,457.8846234635886
385,457,3.741618328486428,410.77596257593524
388,470,97.99978471372789,399.90474879800803
349,234,99.2141433414511,423.62801770647064
337,177,50.57429736530004,454.0742373625206
334,79,129.8944676739433,422.94423031318115
340,29,143.42342133618348,582.6875295864219
346,215,88.68538715471794,380.3452159221744
344,264,39.334105805119194,250.89791753366853
321,286,118.32817703278499,29.081299427909798
325,299,88.9390902688062,187.7859777561556
339,362,142.66305435459185,565.3018354893035
347,404,109.67912143763195,327.3364959497174
