event_id,campaign,flight,time,sky,note
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:20.000000,clear,imported from notebook 03
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,clear,
HALO-AC3_RF04_091950,HALO-AC3,RF04,2022-03-14T09:19:50.000000,cloudy,
HALO-AC3_RF04_092023,HALO-AC3,RF04,2022-03-14T09:20:23.000000,cloudy,
HALO-AC3_RF04_092051,HALO-AC3,RF04,2022-03-14T09:20:51.000000,cloudy,
HALO-AC3_RF04_092201,HALO-AC3,RF04,2022-03-14T09:22:01.000000,cloudy,
HALO-AC3_RF04_103536,HALO-AC3,RF04,2022-03-14T10:35:36.000000,cloudy,
HALO-AC3_RF04_103638,HALO-AC3,RF04,2022-03-14T10:36:38.000000,cloudy,
HALO-AC3_RF04_103642,HALO-AC3,RF04,2022-03-14T10:36:42.000000,cloudy,
HALO-AC3_RF04_103747,HALO-AC3,RF04,2022-03-14T10:37:47.000000,cloudy,
HALO-AC3_RF04_164849,HALO-AC3,RF04,2022-03-14T16:48:49.000000,cloudy,
HALO-AC3_RF04_164958,HALO-AC3,RF04,2022-03-14T16:49:58.000000,cloudy,
HALO-AC3_RF04_165052,HALO-AC3,RF04,2022-03-14T16:50:52.000000,cloudy,
HALO-AC3_RF04_165137,HALO-AC3,RF04,2022-03-14T16:51:37.000000,cloudy,
HALO-AC3_RF04_165242,HALO-AC3,RF04,2022-03-14T16:52:42.000000,cloudy,
HALO-AC3_RF04_165323,HALO-AC3,RF04,2022-03-14T16:53:23.000000,cloudy,
HALO-AC3_RF04_165352,HALO-AC3,RF04,2022-03-14T16:53:52.000000,cloudy,
HALO-AC3_RF04_165522,HALO-AC3,RF04,2022-03-14T16:55:22.000000,cloudy,
HALO-AC3_RF05_092503,HALO-AC3,RF05,2022-03-15T09:25:03.000000,partly cloudy,
HALO-AC3_RF05_092702,HALO-AC3,RF05,2022-03-15T09:27:02.000000,partly cloudy,
HALO-AC3_RF05_092836,HALO-AC3,RF05,2022-03-15T09:28:36.000000,cloudy,
