event_id,campaign,flight,time,channel,x,y,source
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,366,260,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,330,262,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,349,197,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,356,183,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,341,104,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,337,150,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,340,51,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,330,12,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,334,311,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,333,345,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,343,384,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,362,412,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,374,440,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,385,457,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,388,470,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,349,234,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,337,177,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,334,79,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,340,29,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,346,215,manual
HALO-AC3_RF13_090320,HALO-AC3,RF13,2022-04-04T09:03:31.000000,3,344,264,manual
